Name;Relevance;Genre;Tags;Description;URI;Category
Electronix Addicts: Engineering Podcast;;Technology, Science, Natural Sciences, Leisure, Hobbies;;none;spotify:show:1hInldO62WlXmJk2aqgiEC;
Emotional Anatomy - Intelligent Design;;Science;;"Welcome to the Emotional Anatomy Podcast, where we examine how our ego controls our lives. The ego-voice inside our head enslaves us without our knowing it. Let's explore simple solutions to spring you free from the ego that controls most of your actions.  Support this podcast: <a href=""https://anchor.fm/emotional-anatomy/support"" rel=""payment"">https://anchor.fm/emotional-anatomy/support</a>";spotify:show:59PUscaLF1xzUVg8jQRpwb;
Entheogen-DMT The Spirit Molecule ;;Science;;I am disgusting DMT as a whole and going into detail about what it is and its possibilities.;spotify:show:5Ptm3leDwJIklftFjioWfG;
EnviroMENTAL;;Science, Earth Sciences;;We are three college students who are fascinated with learning about our Earth and eager to share our journey. EnviroMENTAL is a radio show committed to blowing your mind with all things environmental!;spotify:show:7eeD7E5a8RKNjjwV0DZSck;
Environmentalk;;Science, Earth Sciences;;The purpose of this podcast is to raise awareness of our current environmental crisis as well as providing an open space for discussion of this topic. It will include interviews with professors, students and those interested in this crisis. I will be discussing different issues within this topic like the major environmental issues, policy efforts, changes in the environment, endangered species news and more. Each podcast will focus on something different and will be highlighted in the title of each episode.;spotify:show:2Y6WGCvXt31TCUltyJCVXR;
Espionage;;History, True Crime, Society & Culture;;Not all spies look like James Bond and Ethan Hunt. Most of them look like ordinary people, which makes them all the more dangerous... So what does it really take to be a spy? Every week, we cover a real-life spy mission: the stakes, the deception, the gadgets, and how it changed the course of history. Each two-part series follows one mission of a historic spy, and if they made it out alive. Espionage is a production of Cutler Media and part of the Parcast Network.;spotify:show:4HL2j5zc7B3ywwxzvtCszF;
Every Little Thing;;Education, Comedy, Science;;Who invented pants? How did ‘pink for girls’ and ‘blue for boys’ happen? What do dogs say when they bark? ELT is here to answer your burning questions. If you have a question that needs answering, call the ELT Help Line at 833-RING-ELT or send an audio message to elt@gimletmedia.com. Every Little Thing is produced by Gimlet Media and hosted by Flora Lichtman.;spotify:show:2dY2l2v95zz9HTlYvDSAdA;
Evolving with Mr. V;;Science, Life Sciences;;An AP Biology Podcast that takes a deep dive into the week that was in AP Biology...with some additional extra content on the inner thoughts of Mr. V on current Movies, TV shows, and much much more!;spotify:show:1vw49bYmLK4vecIvJswlnZ;
Existence of Life at Universe;;Science, Astronomy;;"Astronomy, Space, Kosmos. We have different names for this science. Once in my childhood, I remember how I stare at the night sky and stars. My intention of starting this channel is bringing the concept of ""Space for Everyone"".

I will be uploading podcasts related to Space and Astronomy as well. Feel free to write your ideas, suggestions or feedback about my podcasts and my youtube channel.

Stay Tuned! 
#Adastra";spotify:show:5AeuX0slEHP6W7qGskN2HX;
Exploring the Horizon;;Science;;Welcome to Exploring the Horizon, where amazing things happen. I will bring you closer to bright and fascinating people from all over the world, so-called influencers. I hope they can inspire you as much as they’ve already inspired me, or maybe not, but for my part, it is nothing more than an attempt to convey the passion for my profession to you.;spotify:show:4dYNnn0IlD7GWlMt2iORo9;
Extraterrestrial;;Science, True Crime, History;;Why do we think we aren’t alone? Extraterrestrial explores tales of alien encounters. Millions of people claim to have seen alien life, but no one can confirm any of it. Is there a more grounded explanation for these incidents, or is there really something lurking out there? Every Tuesday, we’ll examine reports of a different alien occurrence, and land on the most plausible explanation. Extraterrestrial is a production of Cutler Media and part of the Parcast Network.;spotify:show:4Y1qqhrzpgNcIkVRajAOdr;
Extremes Season 2;;History, Society & Culture, True Crime;;Our guests are people who've lived through extreme situations. Some stories are funny, some are tragic - but all lend a window into how humans behave when the bets are off.;spotify:show:7BkK3pxARwmhw3bXEKPPsn;
FBI History ;;History;;Drew Doyle and Jackson Gillette talk about how the FBI came to be.;spotify:show:2ANv0TRBkKgzTMpIqHLrA4;
Famous Fates;;History, Society & Culture, True Crime;;Reaching the greatest heights can also mean falling the furthest. Every Wednesday, Famous Fates: Falls From Grace tracks two famous meteoric rises and the spectacular demises that followed, from star athletes and powerful politicians to Hollywood A-listers and genius writers. We break down how they built their empires only to lose it all – and whether or not they got a chance at redemption. Famous Fates is only available on Spotify!;spotify:show:4r157jjrIV0bzS6UxhN07i;
Farbeyond ;;History;;A podcast delving into enigmatic stories from magical corners of history.;spotify:show:5bED2f6FAn3wFp7SttczJZ;
Female Criminals;;True Crime, History, Society & Culture;;The true crime podcast where women aren’t just the victims. Every week, we examine the psychology, motivations, and atrocities of female felons. New episodes come out every Wednesday. Female Criminals is a production of Cutler Media and part of the Parcast Network.;spotify:show:7GCKl0vXV9T7GDd2YDbwVa;
Fey-Sci and Friends;;Science;;"A series of informal conversations between scientists on topics that have sparked debates during our coffee breaks. Prepare for big questions in the community, our self-understanding as scientists, engagement with the public, misconceptions that need addressing and curiosities from the realm of natural sciences.

Find more topics and articles on www.fey-sci.com.";spotify:show:63Fgj3WxHnIPpqLSk9yqBG;
Fictorical;;History;;Fictorical is a podcast focused on battles and warfare. We will be covering conflicts all throughout history and fiction. If you like historical battles like Gettysburg, GREAT! If you like fictional fighting like the battle of Hoth, EXCELLENT! Wait, you like both and you like sharing a laugh with some dear, dear friends? Wow, so do we...That's why we made this. Join us each episode for some insight into what caused the battle, the weapons used, a few laughs, who won, and why!;spotify:show:2yvrDZCUICLTcQiFfvCuhX;
First Time Listeners;;Kids & Family, Parenting, Comedy, Religion & Spirituality, Spirituality, Society & Culture, Science, Social Sciences, Relationships;;"Our world is in need of humor, authenticity, and hope. We're here to share our color commentary on life and raising four kids with twists of nostalgia and advice we've loved and mostly ignored.

First Time Listeners podcast offers voices from early childhood development (Piaget in the house!), child rearing throughout history (what the heck is a baby cage?), theology (we admire the Dalai Lama and sometimes lead Baptist worship), and law (one of us has a law degree and still barely manages to out-argue the kids).

The reality is we have no idea what we're doing. We hope you'll join us!";spotify:show:1uWrnAjywECBJ6Uz2UEuUV;
Folk Talk ;;Science, Social Sciences;;A podcast all about perspectives. Curiosity stricken small town host interviews with other small town people, to get their take on societal norms based on their own individual circumstances. The main goal here is to find some common ground for us to share, or at least to give a vessel in which all sides of a community can share their thoughts of what it is like living in their brain. (And also it’s for shits and giggles. I want to know what people are thinking. How they think....don’t you?);spotify:show:6eTtlwZZiycKw21ViQKSqB;
For Whom the Cell Tolls: Biology, Cancer, and Other Stories About Life;;Science;;"Welcome to For Whom the Cell Tolls! This cast explores the fascinating stories that Biology offers through the eyes of a cancer scientist with teaching experience. Major themes to be explored include cancer, life/death, disease ecology, microbiology, and evolution, among others. This cast will integrate philosophy, culture, and the arts alongside lab and lecture experiences to weave the story of life as we know it. Enjoy!

Instagram: forwhomthecelltolls

forwhomthecelltolls@gmail.com";spotify:show:6KySzlxOJT2blYQbiMoPa2;
Forensic Psychology;;Science;;AT Psychology Interview Project;spotify:show:1GVvUXrTLT31q3Jse40kMw;
From the Earth to the Moon: A Retrospective Podcast on The Apollo Program;;Science;;In 10 years, NASA went from limited prospects to six Apollo moon landings. 12 episodes — framed by the famous HBO miniseries — answer the question: How?;spotify:show:4kEqp4NHVj5yj52KJtjVVb;
GONE;;History, True Crime, Society & Culture;;"Have you ever spent hours looking for something you simply lost? How about a hundred years? How about looking for a missing airplane? Or a vanished civilization? Every other Monday, Gone searches for everything lost. From D. B. Cooper to the Holy Grail, the Etruscan language to early Russian cosmonauts; if it disappeared, we’re looking. After all, just because something is gone, doesn’t mean it can’t be found. Gone is a production of Cutler Media and part of the Parcast Network.";spotify:show:1P5ywuAliiRdTKbZPTvf2p;
GRADitude: The Grad School Guide for Student Physical Therapists;;Science;;"The mission of GRADitude is to inspire, educate, and empower physical therapy graduate students, by capturing valuable insights through the experiences of current students, recent graduates and experienced health professionals. Embark on this journey with us as we navigate through the insanity of physical therapy school together! Support this podcast: <a href=""https://anchor.fm/graditude/support"" rel=""payment"">https://anchor.fm/graditude/support</a>";spotify:show:3BhwSc6ZE21088L3Sb7ZzF;
Geology Podcast;;Science;;its about volcanoes;spotify:show:5lr2vxWeNDi8zVKNMv0Xoy;
Germs and Worms;;Science;;Two physicians and microbiologists talk about all kinds of infections and microbes and their impact on human history.;spotify:show:42pDXkLaJQdzsAxONmRWBR;
Getting Mouthy ;;Science, Social Sciences;;"Two mouthy gals, Marg & Meg on a mission to talk all things taboo; from self-care to sex work. Join us as we get comfortable with all things uncomfortable. Now let's Get Mouthy!";spotify:show:0PLwTuWg46pIx4ogN9ytpF;
Global Warming: THE TRUTH;;Science, Earth Sciences;;The truth on global warming;spotify:show:0MP5lCdoTVETWyOIv1s4UG;
Good Enough Guess;;History;;Great History Needs Great Podcasting;spotify:show:3QKDj083JRgNxJjvIXigpB;
Great American Speeches;;History;;"From John Winthrop's 1630 ""Model of Christian Charity"" to George Washington's 1796 ""Farewell Address,"" from Abraham Lincoln's 1863 ""Gettysburg Address,"" to Martin Luther King, Jr's 1963 ""I Have A Dream,"" these are the words that made America, brought to you in one show. Each episode explores the main points of a single speech, from inaugural to farewell addresses and everything in between.";spotify:show:55sn8YLrwbZYnYaw89zc72;
Great Women of Business;;Business, Society & Culture, History;;The wage gap. The motherhood penalty. The glass ceiling. The stories of business savvy women who battled sexism all the way to the executive suite are both thought provoking and inspiring. From Coco Chanel to Mrs. Fields, Julia Child to Martha Stewart, in this special 12 episode series we present the triumphs of individuals ahead of their time. Through their stories, we examine their most innovative business principles and how those shaped their work and lives. Great Women of Business is part of the Parcast Network.;spotify:show:7I8VlvCJWvznnVtdfewP7A;
Gypsy Rose Blanchard Case;;Society & Culture, Documentary;;This Podcast will be Explaining the Murder of Dee-Dee Blanchard that was Committed by her handicapped Daughter Gypsy Rose Blanchard.;spotify:show:1w2ETyllMtnwdpE5ICF8Mu;
HIDDEN: The Voices Of Young Carers;;Society & Culture, Documentary;;The Change Foundation hopes to shine a light on this often hidden group of caregivers. A young carer is a child, youth or young adult that provides physical, medical, emotional or other supports to a parent, grandparent or sibling. While most young carers are between the ages of 8-24, some kids as young as 5 are in a caregiving role. Ontario has an estimated 3.3 million family caregivers — 17% are young carers between the ages 15-24. Shockingly there’s no data for young caregivers under the age 15. We invite you to meet 13 powerful young carers,their stories help awareness for Young Carers.;spotify:show:1fYFG8pFFcbeARsdrFIS9T;
HOW TWO MEDIEVAL;;History;;Join me, Todd and my Co-Host Ari as we discuss how one starts down the road of medieval re-enactment. Tapping into a vast community of veteran and novice re-enactors, we will discuss how to get started, lessons learned and other topics that will get you on the right path. So sit back and refill your cup and lets get started making history!;spotify:show:3VeJZzcp83TUC6WUEWb9Lk;
Half Baked History;;History;;a podcast where we turn your d's into c's;spotify:show:71PItCk06L6ntHzIkMeEl0;
Haunted Places;;True Crime, History, Arts;;You’ve heard of haunted houses, haunted cemeteries, haunted islands...but do you know how a normal place can become a paranormal minefield? Every haunted place on earth has a frightening, real backstory. Every Thursday, we take you on an audio tour of a new haunted place, and its haunted history!;spotify:show:72EZYVXVAzjJH9UGgeQ2hH;
Here Comes the Sun;;Science, Natural Sciences;;tanning/melanoma;spotify:show:4JfLmFlHiXrh8l41u3q4Sb;
Hey Hun;;Society & Culture, Documentary;;We are Maya Lakhenpaul and Anna Kola and we believe friendship is one of most important things in life. So grab a coffee or a G&T and join us as we dive into topics such as friendship, relationships, fitness, positivity plus tonnes more. We then hope to make you feel wonderful and uplifted than before.;spotify:show:4AXb2dVrIMYfv8WiGYbzAf;
Historia Obscura;;History;;"“Historia Obscura is not only fascinating, it’s high-level sophisticated storytelling.”
-Mitchell Zuckoff, Author of “13 Hours”

There is more to history than what your teachers taught you. In Historia Obscura, you will learn about the lesser known chapters of humanity’s past.

https://www.patreon.com/historiaobscura";spotify:show:2BmKTV4IAQFM4Drm0ar3GW;
Historical Figures;;History, True Crime, Society & Culture;;Big Lives. Little-known Facts. Great, unknown stories hide inside history—every other Wednesday, we dig up what you don't know about the icons you do know. Hosts Carter and Vanessa bring history to life, telling unexpected anecdotes, describing the real personalities behind big names, and examining each individual’s lasting impact on the world. A reboot of Remarkable Lives. Tragic Deaths. (iTunes “Best Debuts of 2016”) Historical Figures is part of the Parcast Network and is a Cutler Media Production.;spotify:show:3iFwYwzabLKsSktBhUVCjn;
Historical Hookups;;History;;Historical Hookups is a podcast where hosts Lauren Bancroft, Sara Ghaleb, Nelinda Palomino, and Savanna Parra give you the hot goss on romances throughout history.;spotify:show:4F2PMwrcflikzQnxAsn5QO;
History Blogs;;History;;This is the blog of history enthusiast Carole Raddato and she is particularly interested in anything related to the emperor Hadrian.;spotify:show:5hfcd2tkIz0d3r5NUXk3mD;
History Does You;;History;;History Does You is a podcast that explores the idea that history always is relevant to today. We also cover topics in current events, foreign policy, and international relations. Through interviews with experts in the field of history, we answer the question, “How is History relevant today?”. From early empires, to the Space Race, we look at the good, the bad and the ugly, and try to have a few laughs on the way. Previous guests have included New York Times Bestselling authors, James Bradley, Roger Crowley, Dr. Andrew Bacevich, and Pulitzer Prize winner Dr. John Gaddis;spotify:show:6RnL3W0weLvAJyZC1cIu8K;
History Under Your Feet;;History;;Basically on Indian history, the events, the issues, the personalities.;spotify:show:5i0JMXCgw8fNTPYC4NDJmC;
History for Kids;;History;;Your host, Jesse Zelman, talks about different people that made history. We also see what they look like on the website https://jessezelman.wixsite.com/mysite;spotify:show:1cqm2LQceIcanlunHbN4kc;
History with Mrs. Krause;;History;;Audio files that include information relevant to American History;spotify:show:2WdhsoXWun4p2kqTpMHUNy;
Home Health Occupational Therapy Explorer ;;Science;;A lifestyle podcast for the home health occupational therapist and those interested in exploring it further. Tackling the ridiculousness of home health and healthcare as an OT, and swapping stories, strategies and insights. With simplicity, humor and inspiration, this podcast is here to support and inspire practical solutions for the home health OT. Hosted by fellow home health OT, Monika Lukasiewicz, whose passion for life and home health is sure to be contagious and entertaining. Sign up to receive customized, funny and up-to-date info via email at www.homehealthOTexplorer.com.;spotify:show:3WDgvVRwgwqQxsg6IKEnyJ;
Hoodoo Mama APOTHECARY ;;Science;;A Cosmic Casting of A Hoodoo Mama..An Ancient Remembrance..Sonic Medicine for the madness of the modern jungle and the Mamas that intuit her terrain.🐆🌱🐍;spotify:show:1rxfeu67pi2jMKn6nAmFhf;
Hostage;;True Crime, History, Society & Culture;;Some terrorists use weapons. Some use information. The scariest use hostages. Every Thursday, Hostage tells electrifying crime stories culminating in intense, life-or-death negotiations. Within the stories, we examine tactics used by the FBI’s crisis negotiation unit, world governments, and even hostage’s parents, highlighting the techniques that saved lives, and the moments where everything went tragically wrong. Hostage is a production of Cutler Media, and part of the Parcast Network. New episodes every Thursday, listen exclusively on Spotify.;spotify:show:07Do1GFU3Y4htyVQbp0uuC;
How To STL;;Science;;"How To STL is a podcast designed to interview scientists (and others) in the greater St. Louis region and explore their research/work. Our goal is to present a simplified version so everyone can understand what they are doing and how STL is helping the scientific (and other) communities grow. 

Howtostl82@gmail.com 
@howtostl Support this podcast: <a href=""https://anchor.fm/matthew-chaidez/support"" rel=""payment"">https://anchor.fm/matthew-chaidez/support</a>";spotify:show:6HIFP0clh0RXrM7O1doUc2;
How the Hong Kong Protests Relate to the Middle Ages;;History;;In this podcast you will learn about the Hong Kong protests, the extradition bill, and how the protests relate to the Middle Ages.;spotify:show:7ubKH1qwY18yrpMUpoetmI;
Immersive Chemistry Podcast;;Science, Chemistry;;The Immersive Chemistry Podcast examines the intersection of chemistry, chemical engineering, game design, educational sciences and technology. In each episode we explore the impact of immersive learning research on these fields through interviews and discussion.;spotify:show:5W9ekXvFJfqfjBbe7vsm53;
Improbable Research;;Science;;"Research that makes people LAUGH, then THINK — research about anything and everything, from everywhere —research that's good or bad, important or trivial, valuable or worthless. Presented by Marc Abrahams, founder of the Ig Nobel Prize ceremony. Support this podcast: <a href=""https://anchor.fm/improbableresearch/support"" rel=""payment"">https://anchor.fm/improbableresearch/support</a>";spotify:show:15GNjJfxY1oqUHMUJtzUvy;
Indirect Message;;Science, Social Sciences;;Laci Green explores noteworthy perspectives on society, human behavior, and the internet.;spotify:show:1kqShC3n6G3ab4WfkhFhol;
Inevitable Change✨;;Science, Nature;;"Inevitable Change is a podcast about all things growth, change and cyclical systems in the natural and emotional world. 

We're Johanna and George, two horticulture students chatting about topics within the natural world and how we relate to them. 


🌻FIND US HERE

Instagram: https://www.instagram.com/inevitable.change.podcast/

George: https://www.instagram.com/bryophytaboy/

Johanna: https://www.instagram.com/fiorere/

Website: https://eumycota.com/";spotify:show:2r7r4xBl3PzZZE65vwFC6p;
InfoCast 5000;;History;;"Interesting facts about familiar pieces of everyday life! Beren &amp; Sam take you on a journey through the history of items you use every day, but may not know the story behind..";spotify:show:6BMPiOePTJBEL1MpvjOrJn;
It's A Brain Thing;;Science, Social Sciences;;"Exploring the psychology of everyday life!

Find us on Twitter @ItsABrainThing_";spotify:show:28r3cKdOurjFZECEslXgC2;
JASS/Women Fight for Rights;;History;;"We will discuss women during the Progressive Era as they fought for suffrage, prohibition, labor, and more. :) 
Women are amazing!!!!!



Credit for info goes to National Geographic: America Through the Lens (book) 
This is a school project//we are not literally sponsored by Cesar’s Dog Food";spotify:show:26Iy1ezLGveOfwPzAZHRzJ;
Journal of Applied Physiology;;Science;;Original research in physiology with an emphasis on adaptive and integrative mechanisms. The journal podcast highlights some of the latest research in the areas of physiology;spotify:show:7imWJhNe5FlZYOQNC32TLt;
Just the Zoo of Us;;Science, Nature;;"Join us, Christian and Ellen Weatherford, while we review your favorite species of animals and rate them out of ten in the categories of effectiveness, ingenuity and aesthetics.
Transcripts can be found at justthezooofus.com 😊
Got a species you want us to review? Submit your animal friend to us at ellen@justthezooofus.com and when we review your animal we'll give you a shoutout 😊
Cover art by Taylor Gordon Art!";spotify:show:65tFpuBodBJAokryEYlhF3;
Keeping Up with Public Health;;Science, Life Sciences;;"Tune in to conversations with the most active public health researchers about the latest developments in public health, from vaccinations to climate change to tobacco policies. Learn about practical applications of the latest research underway at the University of Arizona’s Mel and Enid Zuckerman College of Public Health. 

If you are a CHES, visit https://moodle.publichealth.arizona.edu/ to receive CECH credits for listening.";spotify:show:5yIWM8CP6rDdiCa2VUIPW9;
Kerabigx;;History;;"I’m a boy who wants to rap
Follow me on Instagram @kerabigx to keep updated when a new podcasts comes";spotify:show:1wSWfixZh9DdAkvK52Aj9a;
Khan Conquers Again;;History;;History is the past, the present, and the eventual future. It is repeated, from our small, individual lives to the large decisions made by government. As we learn from our mistakes, we learn from history too. Welcome to “Khan Conquers Again” where we discuss history, and how it applies to all of our futures.;spotify:show:3MMEHupzefARKc0y9i4CXq;
Kingpins;;True Crime, History, Society & Culture;;Undeniable power. Unbelievable stories. Unlikely origins. Kingpins follows the rise and fall of rulers of the underworld. Every Friday, we examine the leaders of organized crime rings, and how money and power corrupted and changed their communities. What makes a kingpin or queenpin, and how can we stop them? Kingpins is part of the Parcast Network, and a production of Cutler Media. New episodes release on Fridays.;spotify:show:3IZ9inzkM6YjDv1lEuCcig;
Kitten it w Gus;;Society & Culture, Documentary;;Just me talking about my experiences in life so far.;spotify:show:3r94aCCKxc0SbU3DBgETRm;
Knowledge You Never Knew You Needed;;Science, Natural Sciences;;To avoid staring into the abyss, two Cambridge graduates have decided to procrastinate in a productive manner and share the knowledge they gained during their studies. If you want to learn about animal cognition, evolution, psychology, neuroscience or a mash up of all of the above, this is the podcast for you! Every episode we will tackle an essay question we have encountered during one of our modules, so don't be surprised by the sometimes bizarre episode titles.;spotify:show:1X8am6h5OWpt0Z5bQVyPoP;
LARIOS;;History;;Americans speak Spanish: The story of an AMERICAN family with roots in Mexico and the unexpected legacy it created. Stories told and real interviews with the people who ultimately define what America is and how it transformed both cultures.;spotify:show:3dvuDCEroXCoFUpehDWYRj;
Launch Escape: Space Podcast;;Science, Astronomy;;Tune in to listen to Praveen Nagaraj talk about space, rocket science, and the importance of making humans a multi-planetary species. Inspired by Elon Musk, this podcast aims to raise public interest in the developments of space travel, including the history of rocket science. Follow news from private companies such as SpaceX and Blue Origin, along with NASA, ISRO, etc. This podcast isn't only for space enthusiasts, but for any novice interested in astronomy and space travel! Powered by News Landed LLC and Appleosophy Media.;spotify:show:3tnWkgjrHcOoIirYDQsphL;
Laurens Lore;;History;;A couple of amateur historians/professional queer people giving their opinions on dead white dudes;spotify:show:6SPVkl9nT78389JDcRlP6e;
Leaving Cert Biology Revision ;;Science;;Leaving Cert Biology Revision notes;spotify:show:3yG2gcToT17HCqINx1Pgec;
Lectures with Mr. Judy;;History;;A collection of lectures of history and government with Mr. Judy of Viewmont High School.;spotify:show:0cZcK8pCajXiSnOCWzHpBp;
Lefteris asks science;;Science, Education, undefined;;"Scientists continue to discover new things in their quest to understand the fundamental principles of life, and at the same time help improve the lives of millions. But with scientists being busy with their research and the public living in an extremely fast paced world, there are a lot of new technologies or discoveries that are either being overlooked or even misunderstood. Lefteris (that's me) meets with the scientists and tries to understand what their job entails and how can their work affect the lives of potentially millions of people.

Music by: Dimitris Statharas
Logo by: Fanny Galland";spotify:show:24XX8ks843csbDyNQobk22;
Legendary Lasses;;History;;"Legendary Lasses is a weekly podcast about the ladies of the past and present who like to make waves and change the course of history. Hosts Ashley, KB, and Sally discuss the underrated female change-makers who have and are continuing to shape their cultures and the world. Support this podcast: <a href=""https://anchor.fm/legendary-lasses/support"" rel=""payment"">https://anchor.fm/legendary-lasses/support</a>";spotify:show:7l4e9EDlsbfDp3d0QTHE2z;
Let's Clear The Air: THE Zodiac Podcast;;Science, Life Sciences;;12 Signs. Millions of conversations. This podcast was designed by me in an effort to get the signs in the same room and talk about the world in which we live in, politics, entertainment, personal stories, etc. Putting an emphasis on the Zodiac signs and how being conscious of their sign can help people to see the similarities and differences between them. With variety comes understanding because we can make a stronger effort to see multiple sides of the universe in which we're apart of. Let's Clear The Air about the signs and live in harmony✨;spotify:show:4Erf9nKAKtSVkasCln3u25;
"Let's think Earth: Season 11; Season of Ava";;Science, Earth Sciences;;This is an informational podcast with a hint of humor. Recorded by sixth graders, we're amazing. Join Lee, Luke, Lauren, Sofia, Laurel and Ava, on a podcast full of laughs and facts!;spotify:show:17Nzvb20NMfESUDkE8Qw0n;
Let’s save the world together ;;Science, Earth Sciences;;Hello my name is Meep560 join me as we use science and learn about climate change and it’s effects. Follow me on scratch at https://scratch.mit.edu/users/Meep560/;spotify:show:1q9YA8Z4NqqBWRrt2WiZPU;
Linguistics After Dark;;Science;;"Linguistics After Dark is a podcast where three linguists (and sometimes other people) answer your burning questions about language, linguistics, and whatever else you need advice about. We have three rules: any question is fair game, there's no research allowed, and if we can't answer, we have to drink.

It's a little like CarTalk for language: call us if your language is making a funny noise, and we'll get to the bottom of it, with a lot of rowdy discussion and nerdy jokes along the way. At the beginning of the show, we introduce a new linguistics term, and there's even a puzzler at the end!";spotify:show:7KmypR70TEU3sGDH4uerdr;
Long Lost: An Investigative History Series;;Society & Culture, Documentary;;A special investigative history series hosted by author Jack El-Hai, from Twin Cities PBS. The Klein brothers, Kenny, David, and Danny, ages 8, 6 and 4, left for Farview Park in Minneapolis’ Northside on Nov. 10th, 1951 and were never seen again. Police closed the case after 5 days, but the Klein family and their community never stopped looking. Long Lost will explore the incident, the family’s dogged pursuit of the truth, and the work of investigators who recently discovered important new clues and identified suspects.;spotify:show:3KclI3Og3SSgDvVtoPzrbP;
Lore & Legend : Tales From Our Mythic Past;;History;;"Welcome to Lore &amp; Legend - telling stories the way they're meant to be told! Lore and Legend combines the magic of myth, legend and folklore with the power of Traditional Storytelling and Audio Drama in one dynamic show. Drawing on world folklore and mythology, each new podcast series explores a new anthology of stories drawn from the world's myth cycles. With regular stories from your hosts Rick Scott and Sebastian Odell, and guest tellers from the contemporary UK storytelling scene.

| Keep up to date with the podcast by visiting www.loreandlegend.co.uk and following us on Facebook and Twitt";spotify:show:09JNKFBXC4LbEFdNejO34g;
Love Will Tear Us Apart;;History;;"Were Gene Wilder and Gilda Radner truly soul mates? Did Frida Kahlo and Diego Rivera fuel each other’s work? Was Mary Austin Freddie Mercury’s greatest love? 

These stories are what inspired this podcast, Love Will Tear Us Apart. 

I hope you’ll join me on my journey to uncover the complicated, passionate and sometimes scandalous stories behind our favorite couples.";spotify:show:1e9xn088BCUUErPjgKqzf7;
MDMA-Assisted Psychotherapy ;;Science;;MDMA-Assisted Psychotherapy;spotify:show:2PASgxTRkBTirJpXD4LVem;
MOV History and Haunts;;History;;"The Mid-Ohio Valley is filled with history, and with history comes ghost stories. In this podcast we will take a look at the history and ghost stories surrounding different places in and around Marietta, OH and Parkersburg, WV.  Support this podcast: <a href=""https://anchor.fm/movhistoryandhaunts/support"" rel=""payment"">https://anchor.fm/movhistoryandhaunts/support</a>";spotify:show:196HyJgr0KCiHymM7u8dgn;
Manifestor's Gift;;Science, Life Sciences;;Sharing content about the Manifestor life experience \ Human Design system type;spotify:show:5WSAmafGjjS8XoOWCBykOA;
Mardi Gras Beyond The Beads;;History;;New Orleans Magazine editor in chief Errol Laborde and cohost Rich Collins dive into the history, tradition and modern celebration of New Orleans Carnival.;spotify:show:7FDOXSTV9HTQtURhFe0qxo;
Maybe the Best of Things: A Podcast with Tanner Mangum;;Society & Culture, Documentary;;A sports/human interest-focused podcast hosted by former Division I quarterback Tanner Mangum dedicated to sharing stories of people that highlight the best of humanity, speak to the soul, and illustrate inspiring messages worthy of sharing with the world.;spotify:show:0R829ZOjUSKoK24MskSe49;
Medical Mysteries ;;True Crime, History;;"We trust doctors with our lives; they are some of the most educated and well-respected members of society. But what happens if they can't diagnose a patient? This high stake medical procedural follows patients as they suffer from bizarre, often terrifying illnesses. None of which doctors learned about in medical school. Medical Mysteries is a Parcast Original, with new episodes every Tuesday.";spotify:show:52qDuV6WDfgnaLdbDmKpUi;
Medical Terminology Standardization ;;Science;;The importance of medical terminology and it’s standardization. Featuring special guest star Lisa Gunn, many thanks to you for helping us.;spotify:show:1NPQWxQeseInfvVxUbMdgJ;
Medicine ReMixed;;Science;;"A Medical Mixtape Produced by The Rawest Crew of Medical Doctors in Modern Medicine—Hacking Heartbeats, Hard Beats &amp; Everything in Between.";spotify:show:0Bj67aq2zuHbxZ072je6Px;
Meditate Awake;;Science;;Created to help you unlock deeper meaning & stronger connection in daily life through meditation, insight, and action;spotify:show:4en5xhj6TehL2j49NCTzZf;
Men who escaped Aushwitz ;;History;;A story of a man who escaped Auschwitz;spotify:show:3TTVgKoO2K8PkWf5YV5Znp;
Mind The Gap Podcast;;Society & Culture, Documentary;;"Every Wednesday join Rich Slice, Amp Logik and Bravo Anané as the Manchester-based trio bridge the gaps in society and discuss life up north, growing up as 80s babies in London and their African heritage - detailing their experiences, cultural differences and take you on a nostalgic journey through their roots. No stone is left unturned as they voice their undiluted opinions on the world as they see it. 

Whoever f*cks with it, f*cks with it. 

We’re unapologetic... Sorry. 

Hosts: 
@rslicebeats
@amp_logik
@bravoanane";spotify:show:0sNGnRZQCi8CGR2uITIjzn;
Mitosis and Meiosis ;;Science, Life Sciences;;About what mitosis and meiosis is;spotify:show:1wPzJKBfCHv5p61WEOAhCu;
Modern Electrician;;Society & Culture, Documentary;;The age old tale of the wise master sitting on some far away hillside, waiting for an eager apprentice to find them and learn all there is to know from them about their craft is as old as time itself. It’s the thing of legend and what countless Kung-fu movies have been mirrored after. Today, that idea seems more a myth than reality, but in the world of the trades, the dynamic of master and apprentice is alive and well. Join Doug as he explores what makes someone a master by talking to tradespeople, comedians and business owners to learn the secrets of their success. This is Modern Electrician!;spotify:show:6gDJrxI17NmfUMVrceudJF;
