Name;URI;Genre;Tags;Category;Relevance;Description
Economics In Ten;spotify:show:44pI1bcAKbrA2fLZpwJF4X;Science, Social Sciences;;;Yes;Economics In Ten is your go-to podcast if you want to learn about the lives, times and ideas of the world's greatest economic thinkers. Each episode is a fun exploration of a famous economist using ten different questions. Presented by Pete and Gav, your friendly neighbourhood economists, with technical support from Nic and music from Jukedeck - create your own at http://jukedeck.com
APUSH Deep Dives;spotify:show:26RaouKCzddDY60v4IbmAk;History;;;Yes;"Covering topics in AP US History, that need a little more time than a 50 minute class period allows.

 Support this podcast: <a href=""https://anchor.fm/grant-mason0/support"" rel=""payment"">https://anchor.fm/grant-mason0/support</a>"
Brainscape;spotify:show:4xm16tF5ib3w4FWWz0ZOAg;Science, Social Sciences;;;Yes;"We are 'Brainscape' - The Glasgow University Psychology Society podcast.
Listen out for our weekly thought-provoking podasts exploring real applications of psychology research.
In our Campus Chat episodes we get opinions from all over campus about our topic.
In Brainscape part 1 and 2 we discuss amazing reserach with great co-hosts and in our interviews you can hear academics delve deeper into exciting research.

Email Brainscape@gmail.com to give us opinions, suggestions and get your audio clips featured in an episode!
Created by Amelia Hilton for the Glasgow University Psychology Society."
Conspiracy or Just a Coincidence?;spotify:show:1UatqcZAB1r5vrSRymy8Vt;History;;;Yes;"From aliens, to the occult, to government conspiracies. Our history is filled with unexplained patterns and events. Are these occurrences all coincidences and conjecture, or is there a deeper, more sinister plot behind them? Support this podcast: <a href=""https://anchor.fm/jackallen1/support"" rel=""payment"">https://anchor.fm/jackallen1/support</a>"
Long Lost: An Investigative History Series;spotify:show:3KclI3Og3SSgDvVtoPzrbP;Documentary, Society & Culture;;Documentary;Yes;A special investigative history series hosted by author Jack El-Hai, from Twin Cities PBS. The Klein brothers, Kenny, David, and Danny, ages 8, 6 and 4, left for Farview Park in Minneapolis’ Northside on Nov. 10th, 1951 and were never seen again. Police closed the case after 5 days, but the Klein family and their community never stopped looking. Long Lost will explore the incident, the family’s dogged pursuit of the truth, and the work of investigators who recently discovered important new clues and identified suspects.
Science Vs;spotify:show:5lY4b5PGOvMuOYOjOVEcb9;Education, Health & Fitness, Science;;;Yes;There are a lot of fads, blogs and strong opinions, but then there’s SCIENCE. Science Vs is the show from Gimlet Media that finds out what’s fact, what’s not, and what’s somewhere in between. We do the hard work of sifting through all the science so you don't have to. This season we tackle football concussions, heartbreak, 5G networks, sleep, free healthcare, police use of force, asteroids and more.
Kingpins;spotify:show:3IZ9inzkM6YjDv1lEuCcig;History, Society & Culture, True Crime;;;Yes;Undeniable power. Unbelievable stories. Unlikely origins. Kingpins follows the rise and fall of rulers of the underworld. Every Friday, we examine the leaders of organized crime rings, and how money and power corrupted and changed their communities. What makes a kingpin or queenpin, and how can we stop them? Kingpins is part of the Parcast Network, and a production of Cutler Media. New episodes release on Fridays.
Double Helix History ;spotify:show:2tTA2xYpcS5YuTIXzXakTu;History;;;Yes;This series of podcasts allows you to investigate the world of DNA and Family History. In four episodes we consider the ways in which DNA is being used around the world.
Great Women of Business;spotify:show:7I8VlvCJWvznnVtdfewP7A;Business, History, Society & Culture;;Documentary;Yes;The wage gap. The motherhood penalty. The glass ceiling. The stories of business savvy women who battled sexism all the way to the executive suite are both thought provoking and inspiring. From Coco Chanel to Mrs. Fields, Julia Child to Martha Stewart, in this special 12 episode series we present the triumphs of individuals ahead of their time. Through their stories, we examine their most innovative business principles and how those shaped their work and lives. Great Women of Business is part of the Parcast Network.
The Genealogical Gentleman;spotify:show:1lXPX1ojco5UAcKA510xW4;History;;;Yes;Shaquan McDowell is a graduate of history, former MTV contributor, and New York Times feature, who has been exploring genealogy for over 12 years. He now has turned his efforts toward taking an investigative look at common people and the common histories that make each of them who they are. Join Shaquan as The Genealogical Gentleman
History Under Your Feet;spotify:show:5i0JMXCgw8fNTPYC4NDJmC;History;;Documentary;Yes;Basically on Indian history, the events, the issues, the personalities.
Historical Figures;spotify:show:3iFwYwzabLKsSktBhUVCjn;History, Society & Culture, True Crime;;;Yes;Big Lives. Little-known Facts. Great, unknown stories hide inside history—every other Wednesday, we dig up what you don't know about the icons you do know. Hosts Carter and Vanessa bring history to life, telling unexpected anecdotes, describing the real personalities behind big names, and examining each individual’s lasting impact on the world. A reboot of Remarkable Lives. Tragic Deaths. (iTunes “Best Debuts of 2016”) Historical Figures is part of the Parcast Network and is a Cutler Media Production.
From the Earth to the Moon: A Retrospective Podcast on The Apollo Program;spotify:show:4kEqp4NHVj5yj52KJtjVVb;Science;;;Yes;In 10 years, NASA went from limited prospects to six Apollo moon landings. 12 episodes — framed by the famous HBO miniseries — answer the question: How?
Uncivil;spotify:show:3ZFCdzRJWGMhok1x69IHRU;Education, History, News;;;Yes;America is divided, and it always has been. We're going back to the moment when that split turned into war. This is Uncivil: Gimlet Media's new history podcast, hosted by journalists Jack Hitt and Chenjerai Kumanyika. We ransack the official version of the Civil War, and take on the history you grew up with. We bring you untold stories about covert operations, corruption, resistance, mutiny, counterfeiting, antebellum drones, and so much more. And we connect these forgotten struggles to the political battlefield we’re living on right now.
Immersive Chemistry Podcast;spotify:show:5W9ekXvFJfqfjBbe7vsm53;Chemistry, Science;;;Yes;The Immersive Chemistry Podcast examines the intersection of chemistry, chemical engineering, game design, educational sciences and technology. In each episode we explore the impact of immersive learning research on these fields through interviews and discussion.
The Cut on Tuesdays;spotify:show:6I73b0kVHO6bg3FOmFUpdA;Arts, News, Society & Culture;news;Opinion;Maybe;The Cut on Tuesdays brings you women's voices on culture, style, sex, politics, and people: It's everything The Cut can't stop talking about. Join host Molly Fischer every week for arguments, obsessions, dissections, reflections, confessions, and other deep dives. From New York Magazine and Gimlet Media.
Ethan and Mike's Sports Show;spotify:show:3yfSSFTurqPGlkqjf94QCx;News;news;Opinion;;Join two South Floridians as they talk about prime time sports on their favorite team and make bold predictions on who will take over the crown for their team.
Political Scandals;spotify:show:2KBfl8eidzorW02RzQf9K8;History, News, True Crime;;Documentary;Yes;Discover how fast controversy can move up in the polls in Parcast's new limited series, Political Scandals. From greed and lust to deceit and cover-ups, we'll unpack the most shocking events in American history - all leading up to the 2020 election. Every Tuesday, join us as we breakdown the rise and fall of our most infamous elected officials, measuring the impact it had on the country and history.
Crimetown;spotify:show:5C9yXrX999QNS1Q62IlXvc;News, Society & Culture;;Documentary;Yes;Welcome to Crimetown, a series produced by Marc Smerling and Zac Stuart-Pontier in partnership with Gimlet Media. Each season, we investigate the culture of crime in a different city. In Season 2, Crimetown heads to the heart of the Rust Belt: Detroit, Michigan. From its heyday as Motor City to its rebirth as the Brooklyn of the Midwest, Detroit's history reflects a series of issues that strike at the heart of American identity: race, poverty, policing, loss of industry, the war on drugs, and our universal desire for a savior. Detroit's a tough town, and its residents are even tougher. They've weathered riots, a drug epidemic, political scandal, and innumerable other hardships, but they're still here - and they have stories to tell. New episodes out Mondays, exclusively on Spotify.
#5 Things;spotify:show:6oXVXJViYbHbJz5rJz7Mel;News;news;Opinion;Yes;Each week Grey brings you five important things happening in the world of social and digital media. This round table panel covers platform updates, creative inspiration, stories in the news, and more. Powered by Grey, Famously effective since 1917
One Nil Football Podcast;spotify:show:1FzG6Bewrnr6GhysVT8aRf;News;news;Opinion;Yes;Talking all things football related from down under.
Technology Labs;spotify:show:1G02YyxN5Dfs8wLI8nBisH;News;news;Opinion;Yes;Technology Labs is a podcast about new technology. We will talk about tech news and have various guests to talk about interesting subjects!
The Hand-off;spotify:show:2JhYNIGrmMe01U3arvQU8x;News;;Opinion;;Both sides of the argument... politics, religion, economics, history, culture wars, governance, geopolitics, at a time when we are mostly wrong and sometimes right.
Coast 2 Coast Fantasy Football;spotify:show:7un8U7APSIRbPw5OmBDLBe;News;news;Opinion;;Join Rob from NY and Bobby from San Diego on this weekly podcast as they talk trends, current events, and hot topics. They may be recording from opposite coasts, but their opinions meet in the middle (most of the time). Topics change with the times but entertainment is guaranteed (for the hosts at the very least). Don't coast through your week without our take on what's up with the world. New episode every Sunday
Red Tail Talk Show;spotify:show:3i0vRZjhnNc34GIuQoX4nU;News;news;;Yes;This podcast is dedicated to promoting and highlighting University of Hartford athletics. This show focuses on student-athletes' accomplishments both on and off the field, and keeps listeners up to date on the Hartford Hawks with the latest score results and upcoming game information. We are all about Hartford Athletics and its fans. Any info YOU need on the Hawks, we've got it
Autonomous Cars with Marc Hoag;spotify:show:7yPBxLJUkqWguIFTzhstZU;News;news;;Yes;Autonomous Cars with Marc Hoag is the world's only weekly podcast dedicated entirely to driverless cars, and the #1 result on Google! We discuss the products, tech, law, policy, and societal impacts of self driving cars, what I call the greatest step change in humanity since the Industrial Revolution!
Just Talk'n Sports;spotify:show:3qeHaFWk5tvr8heJPNR6WF;News;news;;Yes;Talking all sports. From Pros to High School
Up-to-the-minute NBA news.;spotify:show:4PXBfGcWO82UhsSgcnZjKH;News;news;;Yes;Get the latest NBA basketball news, scores, stats, standings, fantasy games, and more
Run The Fade;spotify:show:0Pv0jr5aShbKPMZ2WSbO4i;News;news;Opinion;Yes;The Run The Fade Podcast is a place where anybody hypothetically can catch that fade. This is podcast solely for the culture, a place where nothing is off limits. Join the fade crew weekly as we discuss the hottest topics such as world events, sports, life and everything in between.
Without A Country;spotify:show:25op0P0LRoUyYQD5kVwaPp;News;news;Opinion;Yes;Comedians and marginally educated correspondents Joe DeRosa and Corinne Fisher discuss/roast the most controversial news stories of the week using both conservative and liberal media sources and try to find a little sanity in the middle.
Browns part ways with general manager John Dorsey;spotify:show:5k1d8IGORceIoA8iQI5CCJ;News;;;Yes;The Browns' massively disappointing 2019 season has claimed another employee
Let's Talk Sport;spotify:show:2N1CFSKiiMo23F8qZ80eRN;News;;;Yes;A podcast dedicated to bringing you updates on sport around the world.
The Whole 9 Yards;spotify:show:3lE2wmcsPKloWaSflHmGLE;News;news;Opinion;Yes;This is a podcast where Ryan and Patrick talk about all things sports, and that's about it!
Podkarsh with H;spotify:show:1EnEkn6oJg3oJ5pnk17lPt;News;news;Opinion;Yes;General talk podcast discussing topics such as world politics, interesting science and history.
BirdsoverBoys Podcast;spotify:show:34QTNqJyIU3uGgxVT7hphL;News;news;;Yes;Authentic Philadelphia Eagles podcast with news, analysis and color commentary, all from true DIE HARD Eagles fans
Tyrone Eagle Eye News Podcasts;spotify:show:0KXrf1dWq8qdNLiNiuP5se;News;;Opinion;Yes;Podcasts from the staff of the Tyrone Eagle Eye, the student voice of Tyrone Area High School.
Behind the Bull;spotify:show:7pDunPM1uYeaaweNU64m2V;News;news;Opinion;Yes;Weekly USU sports podcast featuring Utah State athletes and their stories.
The Big Fat Indian Ghotala;spotify:show:0TbZLEvRcQNoFzWQFHddJ1;Documentary, News, Society & Culture;;Documentary;Yes;Spotify Studios presents The Big Fat Indian Ghotala, an Original Podcast series that delves into the scams a.k.a ghotalas from across the Indian spectrum ranging from call-centre scams to banking scams. This show attempts to voice the frustration faced by middle-class India by cataloging the scale and seriousness of the crimes but through a lens of satire.
The Mister(ess) of Pop Culture \ud83d\udda4;spotify:show:4G3q8B3St2GB9pM365Oi9N;News;news;Opinion;Yes;Andrew's take on all things, pop culture! 20-25 minute takes on the cray crazy world we love to live in!
For The Culture;spotify:show:4Evhiidp93yh0M2EVTb9Cu;News;news;Opinion;Yes;A podcast that covers everything going on in the culture! From rap, to sports, and everything in between, we've got you covered for everything happening right now in the culture!
Weakly Update;spotify:show:6WCGCMNj82qaVQjMMTU2iK;News;news;;Yes;Long running radio show giving you only the best and most uplifting news! Now a podcast! First episode available November 25th.
crack-a-can;spotify:show:6h233oVvTFWVax3rWIeFRJ;News;news;Opinion;Yes;The most random entertainment news podcast on the internet! On this podcast we will be talking about current events, interviewing individuals on their life experiences, and most importantly having fun creating content and connecting with new people.
Conviction;spotify:show:2XquJlPU9ibLYZMH0ZzFwA;Documentary, News, Society & Culture, True Crime;;Documentary;Yes;When John Quinney was ten years old, he took the stand to testify against his own father. He had come to believe that his dad Melvin was the murderous leader of a satanic cult. It would be decades before John would learn that his family was just one of many swept up in a panic that gripped America in the 1980s - one in which hundreds of people were accused of taking part in underground satanic cults that sacrificed infants and sexually abused children. By the time the panic had subsided, scores of people were in prison, convicted on little to no evidence - people like John's father. Conviction: American Panic takes you inside one of the darkest and most bizarre chapters of American history. This series contains descriptions of adult subject matter, including details of sexual abuse and trauma. It may not be suitable for everyone, discretion is advised.
Nfl weekly news;spotify:show:4U77aY43YsnO6v0cKNv0my;News;;;Yes;sports talk
TwinTalkYanks;spotify:show:7qAt6if5XDSv6JUnu4vVLL;News;news;Opinion;Yes;Twin brothers born and raised in the middle of Mets country, but bleed Yankee Blue! Get all your Yankee updates, opinions, and steaming hot takes with a twin twist!
I Believe USMNT Podcast;spotify:show:3PDoqSQhVS6k3qM9cpMtg1;News;news;Opinion;Yes;A USMNT podcast for news, analysis, opinions, debates, rants, and entertainment! With Tyler Keenum and Ryan Nesmith.
Jemele Hill is Unbothered;spotify:show:1SXD1U55jqbK9HHoPvdbsw;News, Society & Culture;news;;Yes;Award-winning journalist and culture critic Jemele Hill interviews the most compelling figures in news, pop culture, politics and sports. Expect unbothered and unfiltered conversations.
AllDatNoise Podcast;spotify:show:5iyRtS7DW3MKIOUkd4BG38;News;news;;Yes;AllDatNoise the podcast explores the music industry, sports news, and popular news. The interviews that we conduct will enlighten our listeners about their favorite up and coming music artist, and people that are making a difference all around the world.
What's Trending?;spotify:show:0lBpq1qzcr8kKrtXm3HcC0;News;news;Opinion;Yes;"Every Friday. I discuss with a different guests, everything that has happened during the week, it could be politics, it could be football, anything and everything. Also with different segments, such as \""What random fact?\"" and \""What's funny this week?\"""
Bollywood Gupshup;spotify:show:5Bz7dEhAhmAkaqO0ZYILoO;News;news;Opinion;Yes;The latest trends, news and views from the world of Bollywood
Fan Wonderland;spotify:show:7hJqJL39OIsIZsEnoIxOsM;News;news;Opinion;Yes;Fan Wonderland covers all genres from Cosplay, TV & Film, Comedy, Music, Sport, and more. Fan Wonderland was created as a safe place for LGBTQIA+ friendly fans to express themselves, be themselves and have their voices heard by our guests and bridge the gap between fans and our guests.  Fan Wonderland is a safe space for all fans regardless of gender, sexual orientation, or race and it's something we pride ourselves on in ensuring this never changes. Hosted by Non-Binary host TJ (They/Them)
The Michael Decon Program;spotify:show:1faGhT2N78uzUOJ8rZFWZA;News;news;Opinion;Yes;A truly unique show not like the others, if you want to be entertained & informed you've found a home. Long-form interviews with all walks of life, popular names and very unpopular names manifest from the ether.
Uncivil;spotify:show:3ZFCdzRJWGMhok1x69IHRU;Education, History, News;;Documentary;Yes;America is divided, and it always has been. We're going back to the moment when that split turned into war. This is Uncivil: Gimlet Media's new history podcast, hosted by journalists Jack Hitt and Chenjerai Kumanyika. We ransack the official version of the Civil War, and take on the history you grew up with. We bring you untold stories about covert operations, corruption, resistance, mutiny, counterfeiting, antebellum drones, and so much more. And we connect these forgotten struggles to the political battlefield we're living on right now.
Waterloo Warriors Armchair Quarterback;spotify:show:77nHX2A2eKjByYrxewXHT9;News;news;Opinion;Yes;The Official Podcast of the University of Waterloo Football Team. 3 Segments: Players Only, Coaches Corner & Glory Days. Come out to support your Warriors!
Pwns Media;spotify:show:3CErBBzx4XukMM3RVEOfCB;News;news;Opinion;Yes;Sports, stories, commentary and other things. We have it all.
Carlos and Marc\u2019s Podcast;spotify:show:1OWxWeLYhsZwQmcagCc9NQ;News;news;Opinion;Yes;SimplyStated! is a weekly show hosted by Liam and Marc where we talk all things streetwear, sneakers, upcoming releases, and many more! Every week features an in-depth look at Supreme's weekly release, as well as opinions on other brands and upcoming streetwear and sneakers.
The Nerd^2 Pod;spotify:show:3Foge1Ej1P8Az4gVuFVeaF;News;news;Opinion;Yes;Catering to all things and everyone nerdy!!
3Bawls Basketball Podcast;spotify:show:6Eiqut8Ar4k9vy9qeGq5qE;News;news;;Yes;The 3bawls crew keeps tabs on everything happening around the world of basketball, giving you a fresh dose of the latest story lines, trends, insight into players personal lives and much more. Tune in weekly!
Mr. America;spotify:show:2BXDsjwgbf9iTBCkeBAySP;News;news;Opinion;Yes;CJ Mickens is Mr. America, offering a weekly podcast that puts a spotlight Pop Culture, News, Music, Movies, RuPaul's Drag Race Episode and personal triumph on the airwaves! Come laugh, learn, listen and love!
AI Ireland Podcast;spotify:show:0BSnufcpLFsqIepZmJN0Pp;;news;Documentary;Yes;The AI Ireland podcast, breaks down the hype and explores the impact that Data Science, Machine Learning and Artificial Intelligence are making on our everyday lives. Our goal is to share with you the insights of technologists and data science enthusiasts to showcase the excellent work that is been done within AI in Ireland and abroad.
Flip the Switch;spotify:show:4VwR1QnXnEmwfofhXx8PFY;News;news;Opinion;;Tim and T-Rich are 2 best friends from high school who bring you news about current events weekly or bi-weekly. Guests are always welcome! Sports, politics, opinions, aliens, conspiracies, education, anything you can think of, we talk about it. Q&A and Chaps My A$$ segment on every episode.
22 Yarns with Gaurav Kapur;spotify:show:43mTFxSHXF7Xtvjx4TF0Dc;News;news;Opinion;Yes;A podcast for cricket lovers from all around the world, captained by Gaurav Kapur alongside a wide variety of cricket journalists, analysts, players and retired cricket greats who will dig into cricket's most beautiful stories and anecdotes from both on and off the field.
The Miami Corridor Podcast;spotify:show:2V4ynJLjKQsgV0yQD7Ovz5;News;;;Yes;Information on celebrity's & music
Undone;spotify:show:1DpjNPz2R1uJoBABi8TAMm;History, News, Society & Culture;;Documentary;Yes;"When big news happens, the world tunes in and then moves on. But often the stories we thought were over haven't really ended; they were the beginning of something else. Undone is a new show from Gimlet Media that digs up the surprising things that happened when we weren't looking."
Latest news update.;spotify:show:45krUib4gxBCKUgnx8uqlW;News;;;Yes;American basketball news 2019.
Usa Today Sports news;spotify:show:6lpHdVAAZHLJUK4ZkpZ9pn;News;news;;Yes;Sports talk
The Sports Desk by Times of Malta;spotify:show:2Akp5XXnwNCpANhBqvSz5s;News, Sports;;Opinion;Yes;-
Bruins Take by CCSN;spotify:show:4ZTSKV0JmGT1liYKF9mX7E;News;news;Opinion;Yes;CCSN is proud to announce our new podcast, Bruins Take! The video version can be found on http://youtube.com/cherrycreeksportsnetwork
